Semester,Session,Batch,Roll No.,Assignment,Midterm,Ori Online Participation,Online Participation,Ori Group Project,Group Project,COURSEWORK,Alternative Assessment 01,Alternative Assessment 02,FINALS,TOTAL MARKS,GRADE
1,2018/2019,3,PDS095,4.5,14.8,4.0,4.0,15.33,15.3,38.6,,,29.6,68.2,B
1,2018/2019,3,PDS096,6.5,16.0,9.0,9.0,15.67,15.7,47.2,,,32.8,80.0,A
1,2018/2019,3,PDS097,4.0,10.0,8.0,8.0,19.0,19.0,41.0,,,27.2,68.2,B
1,2018/2019,3,PDS098,5.0,15.2,10.0,10.0,15.0,15.0,45.2,,,35.2,80.4,A
1,2018/2019,3,PDS099,5.0,15.2,10.0,10.0,18.33,18.3,48.5,,,32.0,80.5,A
1,2018/2019,3,PDS100,8.0,13.6,10.0,10.0,15.0,15.0,46.6,,,21.6,68.2,B
1,2018/2019,3,PDS101,6.0,14.8,10.0,10.0,15.0,15.0,45.8,,,24.0,69.8,B
1,2018/2019,3,PDS102,6.5,17.6,10.0,10.0,17.33,17.3,51.4,,,36.0,87.4,A
1,2018/2019,3,PDS103,8.0,16.0,10.0,10.0,19.33,19.3,53.3,,,30.4,83.7,A
1,2018/2019,3,PDS104,7.0,15.2,6.0,6.0,15.0,15.0,43.2,,,20.0,63.2,B-
1,2018/2019,3,PDS105,5.5,17.2,8.0,8.0,15.0,15.0,45.7,,,24.0,69.7,B
1,2018/2019,3,PDS106,6.0,12.8,8.0,8.0,15.0,15.0,41.8,,,25.6,67.4,B
1,2018/2019,3,PDS107,7.5,10.8,10.0,10.0,19.33,19.3,47.6,,,34.4,82.0,A
1,2018/2019,3,PDS108,7.0,18.0,10.0,10.0,19.33,19.3,54.3,,,28.8,83.1,A
1,2018/2019,3,PDS109,6.0,14.8,10.0,10.0,15.0,15.0,45.8,,,24.0,69.8,B
1,2018/2019,3,PDS110,8.0,17.6,10.0,10.0,18.33,18.3,53.9,,,33.6,87.5,A
1,2018/2019,3,PDS111,5.0,13.6,10.0,10.0,17.33,17.3,45.9,,,19.2,65.1,B
1,2018/2019,3,PDS112,8.0,17.6,10.0,10.0,10.33,10.3,45.9,,,26.4,72.3,B+
1,2018/2019,3,PDS113,6.0,12.8,10.0,10.0,16.0,16.0,44.8,,,31.2,76.0,A-
